COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
ACUITY BRANDS INC,1144215,3640,10/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1144215/000114421517000106/0001144215-17-000106.txt
ACURA PHARMACEUTICALS  INC,786947,2834,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/786947/0000114420417018146/0001144204-17-018146.txt
Acushnet Holdings Corp.,1672013,3949,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1672013/000155837017002327/0001558370-17-002327.txt
ACXIOM CORP,733269,7374,5/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/733269/0000073326917000039/0000733269-17-000039.txt
Adaiah Distribution Inc,1593204,5020,2/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1593204/000147793217000778/0001477932-17-000778.txt
Adama Technologies Corp,1422222,4899,10/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1422222/000155278117000556/0001552781-17-000556.txt
ADAMANT DRI PROCESSING & MINERALS GROUP,1171008,1000,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1171008/000119380517000646/0001193805-17-000646.txt
Adamas Pharmaceuticals Inc,1328143,2834,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1328143/000162828017001888/0001628280-17-001888.txt
Adamis Pharmaceuticals Corp,887247,2834,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/887247/0000138713117001745/0001387131-17-001745.txt
ADAMS RESOURCES & ENERGY  INC.,2178,5172,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/2178/000000000217817000019/0000002178-17-000019.txt
Adaptimmune Therapeutics PLC,1621227,2836,3/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1621227/000110465917016024/0001104659-17-016024.txt
ADCARE HEALTH SYSTEMS  INC,1004724,8051,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1004724/000100472417000021/0001004724-17-000021.txt
ADDENTAX GROUP CORP.,1650101,7330,7/3/2017,10-K,http://www.sec.gov/Archives/edgar/data/1650101/000149315217007430/0001493152-17-007430.txt
Addus HomeCare Corp,1468328,8082,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1468328/000119312517083098/0001193125-17-083098.txt
ADDVANTAGE TECHNOLOGIES GROUP INC,874292,5000,12/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/874292/0000144526017000042/0001445260-17-000042.txt
ADESTO TECHNOLOGIES Corp,1395848,3674,3/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1395848/000156459017005169/0001564590-17-005169.txt
Adient plc,1670541,3714,11/22/2017,10-K,http://www.sec.gov/Archives/edgar/data/1670541/000167054117000071/0001670541-17-000071.txt
ADM ENDEAVORS  INC.,1588014,1700,1/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1588014/000149315217000762/0001493152-17-000762.txt
ADM ENDEAVORS  INC.,1588014,1700,6/6/2017,10-K,http://www.sec.gov/Archives/edgar/data/1588014/000149315217006266/0001493152-17-006266.txt
ADM TRONICS UNLIMITED  INC.,849401,3845,6/29/2017,10-K,http://www.sec.gov/Archives/edgar/data/849401/0000143774917012017/0001437749-17-012017.txt
ADMA BIOLOGICS  INC.,1368514,2836,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1368514/000119380517000330/0001193805-17-000330.txt
ADMIRAL FINANCIAL CORP,828530,6035,9/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/828530/0000155335017001057/0001553350-17-001057.txt
ADOBE SYSTEMS INC,796343,7372,1/20/2017,10-K,http://www.sec.gov/Archives/edgar/data/796343/0000079634317000031/0000796343-17-000031.txt
Adtalem Global Education Inc.,730464,8200,8/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/730464/0000114420417044976/0001144204-17-044976.txt
ADTRAN INC,926282,3661,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/926282/0000156459017002423/0001564590-17-002423.txt
ADURO BIOTECH  INC.,1435049,2834,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/1435049/000156459017003099/0001564590-17-003099.txt
ADVANCE AUTO PARTS INC,1158449,5531,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1158449/000115844917000034/0001158449-17-000034.txt
Advanced BioEnergy  LLC,1325740,2860,12/18/2017,10-K,http://www.sec.gov/Archives/edgar/data/1325740/000156459017025064/0001564590-17-025064.txt
Advanced Biomedical Technologies Inc.,1385799,3842,2/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1385799/000138713117000831/0001387131-17-000831.txt
ADVANCED CREDIT TECHNOLOGIES INC,1437517,7372,3/29/2017,10-K,http://www.sec.gov/Archives/edgar/data/1437517/000101054917000101/0001010549-17-000101.txt
Advanced Disposal Services  Inc.,1585790,4953,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1585790/000162828017001730/0001628280-17-001730.txt
ADVANCED DRAINAGE SYSTEMS  INC.,1604028,3086,5/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1604028/000156459017011836/0001564590-17-011836.txt
Advanced Emissions Solutions  Inc.,1515156,2890,3/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1515156/000151515617000017/0001515156-17-000017.txt
ADVANCED ENERGY INDUSTRIES INC,927003,3679,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/927003/0000092700317000010/0000927003-17-000010.txt
Advanced Environmental Petroleum Producers Inc.,1584137,8742,4/5/2017,10-K,http://www.sec.gov/Archives/edgar/data/1584137/000147793217001586/0001477932-17-001586.txt
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,849706,2430,3/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/849706/0000165495417002109/0001654954-17-002109.txt
ADVANCED MEDICAL ISOTOPE Corp,1449349,3841,3/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1449349/000165495417001788/0001654954-17-001788.txt
ADVANCED MICRO DEVICES INC,2488,3674,2/21/2017,10-K,http://www.sec.gov/Archives/edgar/data/2488/000000000248817000043/0000002488-17-000043.txt
ADVANCED OXYGEN TECHNOLOGIES INC,352991,6500,9/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/352991/0000035299117000007/0000352991-17-000007.txt
Advanced Voice Recognition Systems  Inc,1342936,1311,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1342936/000134293617000016/0001342936-17-000016.txt
AdvancePierre Foods Holdings  Inc.,1669792,2000,3/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1669792/000119312517077043/0001193125-17-077043.txt
AdvanSix Inc.,1673985,2821,3/6/2017,10-K,http://www.sec.gov/Archives/edgar/data/1673985/000093041317000896/0000930413-17-000896.txt
AdvanSource Biomaterials Corp,1011060,3841,6/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1011060/000101106017000008/0001011060-17-000008.txt
Advaxis  Inc.,1100397,2834,1/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1100397/000149315217000250/0001493152-17-000250.txt
Advaxis  Inc.,1100397,2834,12/21/2017,10-K,http://www.sec.gov/Archives/edgar/data/1100397/000149315217014889/0001493152-17-014889.txt
Adverum Biotechnologies  Inc.,1501756,2836,3/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1501756/000156459017003759/0001564590-17-003759.txt
ADVISORY BOARD CO,1157377,8741,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1157377/000115737717000005/0001157377-17-000005.txt
AECOM,868857,8711,11/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/868857/0000104746917007051/0001047469-17-007051.txt
Aegion Corp,353020,1623,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/353020/0000035302017000007/0000353020-17-000007.txt
Aeglea BioTherapeutics  Inc.,1636282,2834,3/23/2017,10-K,http://www.sec.gov/Archives/edgar/data/1636282/000156459017005137/0001564590-17-005137.txt
AEHR TEST SYSTEMS,1040470,3825,8/29/2017,10-K,http://www.sec.gov/Archives/edgar/data/1040470/000165495417007962/0001654954-17-007962.txt
AEI INCOME & GROWTH FUND 24 LLC,1130758,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1130758/000113075817000014/0001130758-17-000014.txt
AEI INCOME & GROWTH FUND 25 LLC,1185198,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1185198/000113075817000012/0001130758-17-000012.txt
AEI Income & Growth Fund 26 LLC,1326321,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1326321/000113075817000010/0001130758-17-000010.txt
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,931755,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/931755/0000113075817000018/0001130758-17-000018.txt
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,1023458,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1023458/000113075817000016/0001130758-17-000016.txt
AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,894245,6500,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/894245/0000113075817000020/0001130758-17-000020.txt
