COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
Aimmune Therapeutics  Inc.,1631650,2834,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1631650/000156459017004466/0001564590-17-004466.txt
AIR INDUSTRIES GROUP,1009891,3728,4/19/2017,10-K,http://www.sec.gov/Archives/edgar/data/1009891/000119380517000662/0001193805-17-000662.txt
AIR LEASE CORP,1487712,7359,2/23/2017,10-K,http://www.sec.gov/Archives/edgar/data/1487712/000155837017000879/0001558370-17-000879.txt
AIR METHODS CORP,816159,4522,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/816159/0000157104917001894/0001571049-17-001894.txt
AIR PRODUCTS & CHEMICALS INC /DE/,2969,2810,11/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/2969/000000000296917000039/0000002969-17-000039.txt
AIR T INC,353184,4513,10/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/353184/0000143774917017134/0001437749-17-017134.txt
Air Transport Services Group  Inc.,894081,4513,3/8/2017,10-K,http://www.sec.gov/Archives/edgar/data/894081/0000089408117000036/0000894081-17-000036.txt
AIRBORNE WIRELESS NETWORK,1537258,5961,11/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1537258/000164033417002419/0001640334-17-002419.txt
Aircastle LTD,1362988,7359,2/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1362988/000136298817000004/0001362988-17-000004.txt
AIRGAIN INC,1272842,3663,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1272842/000156459017004418/0001564590-17-004418.txt
AIT Therapeutics  Inc.,1641631,3841,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1641631/000147793217001466/0001477932-17-001466.txt
AJ GREENTECH HOLDINGS.,1394108,2860,5/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1394108/000155479517000206/0001554795-17-000206.txt
AK STEEL HOLDING CORP,918160,3312,2/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/918160/0000091816017000076/0000918160-17-000076.txt
AKAMAI TECHNOLOGIES INC,1086222,7389,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1086222/000108622217000080/0001086222-17-000080.txt
Akebia Therapeutics  Inc.,1517022,2834,3/6/2017,10-K,http://www.sec.gov/Archives/edgar/data/1517022/000156459017003466/0001564590-17-003466.txt
Akers Biosciences Inc,1321834,2835,4/11/2017,10-K,http://www.sec.gov/Archives/edgar/data/1321834/000149315217003722/0001493152-17-003722.txt
AKORN INC,3116,2834,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/3116/000000162828017002069/0001628280-17-002069.txt
Akoustis Technologies  Inc.,1584754,3661,9/20/2017,10-K,http://www.sec.gov/Archives/edgar/data/1584754/000161577417005214/0001615774-17-005214.txt
Ala Carte Charts Corp,1672900,6770,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1672900/000121390017003851/0001213900-17-003851.txt
