COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
8point3 Energy Partners LP,1635581,4911,1/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1635581/000156459017000660/0001564590-17-000660.txt
ACTIVECARE  INC.,1429896,3669,1/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1429896/000109690617000028/0001096906-17-000028.txt
ADM ENDEAVORS  INC.,1588014,1700,1/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1588014/000149315217000762/0001493152-17-000762.txt
ADOBE SYSTEMS INC,796343,7372,1/20/2017,10-K,http://www.sec.gov/Archives/edgar/data/796343/000079634317000031/0000796343-17-000031.txt
Advaxis  Inc.,1100397,2834,1/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/1100397/000149315217000250/0001493152-17-000250.txt
AEP INDUSTRIES INC,785787,3081,1/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/785787/000119312517010915/0001193125-17-010915.txt
ALEXANDRIA REAL ESTATE EQUITIES INC,1035443,6798,1/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1035443/000103544317000022/0001035443-17-000022.txt
,,,,,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437.txt
